Data,Quantidade,Total,Media
2021-10-11,35006742,"24216560,3","691,77"
2021-10-01,40881959,"26827201,01","656,21"
2021-08-14,22721766,"5004333,14","220,24"
2021-02-22,9732717,"9484308,15","974,48"
2021-01-06,6264677,"5668543,08","904,84"
2021-03-03,10616330,"8432363,01","794,28"
2022-02-05,44056030,"10142862,62","230,23"
2022-11-18,82195977,"41045807,81","499,37"
2020-11-09,88184,"37004,03","419,62"
2021-10-03,18201441,"3294638,15","181,01"
2022-09-16,69182819,"34677869,93","501,25"
2021-07-09,27046393,"13929115,22","515,01"
2021-05-09,9273297,"2233845,91","240,89"
2022-02-19,38396721,"7287157,33","189,79"
2022-06-01,62959489,"35770812,08","568,16"
2022-10-08,71735973,"14088921,1","196,4"
2021-02-06,6972369,"2255536,53","323,5"
2022-04-22,49540184,"26536502,48","535,66"
2021-09-07,21091322,"5481989,89","259,92"
2021-07-16,26355492,"15833719,22","600,77"
2022-05-04,55800371,"31176188,06","558,71"
2020-11-03,2345,"210,24","89,65"
2020-12-20,2910300,"901678,35","309,82"
2021-06-10,25600687,"17629709,17","688,64"
2021-01-22,6826694,"6313862,64","924,88"
2021-03-14,4802850,"1237954,94","257,75"
2022-11-27,44047621,"5760230,11","130,77"
2022-05-29,30310050,"4321456,46","142,58"
2022-11-21,76681707,"46031492,11","600,29"
2020-12-18,6596876,6595479,"999,79"
2023-01-04,71355607,"34546842,96","484,15"
2021-03-08,13401774,"10823709,49","807,63"
2022-02-11,47253343,"26040436,84","551,08"
2020-12-28,5133292,"6022395,01","1173,2"
2021-09-15,33436586,"22115177,65","661,41"
2021-01-02,2451605,"817741,44","333,55"
2022-03-22,43717799,"23554873,06","538,79"
2021-10-30,33157787,"7227274,37","217,97"
2022-08-13,58883759,"10938158,57","185,76"
2021-11-03,37328992,"24043591,52","644,1"
2021-08-17,25829033,"16272337,79",630
2021-08-13,29929034,"18223563,68","608,89"
2021-04-17,10642982,"2865282,39","269,22"
2021-03-10,13464664,"10828316,98","804,2"
2023-02-13,78265165,"43268717,28","552,85"
2021-06-22,21740942,"13246209,89","609,27"
2022-11-30,99376115,"55591076,1","559,4"
2022-07-05,67269426,"41389932,09","615,29"
2021-10-23,29273441,"5597554,46","191,22"
2021-07-14,24579583,"14676692,17","597,11"
2021-03-13,7968781,"2382429,63","298,97"
2021-11-28,19501839,"3137366,76","160,88"
2022-04-23,41103348,"7331463,12","178,37"
2021-12-08,43651429,"23441613,69","537,02"
2022-06-11,53350290,"10052789,22","188,43"
2021-12-13,39168924,"25994120,31","663,64"
2021-01-08,8062044,"7083097,45","878,57"
2021-08-03,27729244,"17607194,18","634,97"
2021-02-27,7337695,"2305342,58","314,18"
2021-04-05,16289268,"14565114,31","894,15"
2021-05-11,19568660,"13221187,02","675,63"
2022-06-15,65261876,"40132567,47","614,95"
2022-09-14,63657445,"30924745,22","485,8"
2021-08-16,27555285,"22807555,28","827,7"
2021-12-05,23633736,"4355286,55","184,28"
2023-02-20,61124781,"13973700,07","228,61"
2022-10-22,64492833,"11009879,72","170,71"
2021-10-28,33584349,"20144060,16","599,8"
2022-10-15,62680879,"12036295,99","192,03"
2022-09-12,68875034,"45591932,16","661,95"
2022-03-18,51865739,"27878721,4","537,52"
2021-10-25,32143659,"23435445,8","729,08"
2022-04-17,25651170,"3659494,08","142,66"
2021-02-25,8985272,"8130893,82","904,91"
2021-07-18,12571826,"2177771,07","173,23"
2021-03-23,10687860,"7947398,01","743,59"
2023-02-14,77378368,"37116240,79","479,67"
2020-12-24,4174981,"2933145,86","702,55"
2023-01-11,76315113,"35994422,97","471,66"
2021-12-07,48808533,"27966333,47","572,98"
2021-03-15,12834733,"11093474,33","864,33"
2020-12-16,4678531,"4263257,15","911,24"
